# Generated from SKA1_Low_rev_04.txt
Centre	116.764448	-26.824722
C1	116.765696	-26.826162
C2	116.763621	-26.823646
C3	116.765156	-26.825152
C4	116.763103	-26.825226
C5	116.764463	-26.824672
C6	116.764130	-26.822923
C7	116.764782	-26.823524
C8	116.764539	-26.825185
C9	116.765574	-26.824120
C10	116.762603	-26.824216
C11	116.763073	-26.824278
C12	116.766071	-26.823449
C13	116.764434	-26.825672
C14	116.764904	-26.825464
C15	116.763900	-26.824653
C16	116.762306	-26.824677
C17	116.765263	-26.823809
C18	116.766033	-26.824062
C19	116.764020	-26.825349
C20	116.764806	-26.824885
C21	116.766130	-26.824569
C22	116.766408	-26.825231
C23	116.765364	-26.825815
C24	116.763849	-26.823296
C25	116.765709	-26.823252
C26	116.763499	-26.823061
C27	116.764480	-26.823156
C28	116.764743	-26.826382
C29	116.763919	-26.825818
C30	116.765206	-26.823381
C31	116.765580	-26.825489
C32	116.765141	-26.822667
C33	116.763774	-26.826263
C34	116.766488	-26.824087
C35	116.763573	-26.825397
C36	116.763004	-26.825802
C37	116.765188	-26.824626
C38	116.763076	-26.824828
C39	116.765199	-26.826416
C40	116.762233	-26.824029
C41	116.763418	-26.824587
C42	116.766596	-26.824458
C43	116.762328	-26.825320
C44	116.765128	-26.824240
C45	116.763749	-26.826643
C46	116.762640	-26.823744
C48	116.762609	-26.824977
C49	116.764583	-26.822734
C50	116.766470	-26.825696
C51	116.764965	-26.823020
C52	116.764218	-26.826148
C53	116.763241	-26.823877
C54	116.765719	-26.824477
C55	116.766731	-26.824878
C56	116.762731	-26.825512
C57	116.764898	-26.825929
C58	116.763410	-26.825984
C59	116.764198	-26.824956
C60	116.765966	-26.825103
C61	116.762984	-26.826250
C62	116.763345	-26.826458
C63	116.763575	-26.824994
C64	116.763074	-26.823213
C65	116.763749	-26.822702
C66	116.764354	-26.826699
C67	116.762739	-26.824578
C68	116.765638	-26.822844
C69	116.765730	-26.823697
C70	116.764211	-26.823498
C71	116.766072	-26.825514
C72	116.766402	-26.823694
C73	116.764892	-26.826741
